Obs,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23
Z(HD 15137),2.5678169443011027,-2.5685906900515216,1.675917790205429,0.46828858181580546,1.9147579961282457,0.9769093416363949,1.1557572520970245,0.05304697243159484,0.1892249749553249,-0.03253353265972605,-0.003325421470096922,-0.2791698235103801,0.12753287704407604,-0.022754343130271314,0.13298814785065705,0.05347867954556078,-0.030435243522625638,-0.12062673968414091,-0.07662334663267452,-0.018191362115507797,0.03128265167730555,0.017853008369990535,0.00507446089520558
Z(HD 22951),-0.5256509954163262,0.7265346919162011,1.8291172346535955,-0.06158565801864461,0.35950390970441265,-0.8401030607513126,-0.0541693117997844,-0.0692240797525023,-0.8273984671011556,0.4577805774779744,0.4469879964433785,-0.11722924153058621,-0.02513548889233481,-0.022538422895026326,-0.0793244224499885,-0.31999080911775735,-0.03288054357958337,-0.010426677266645307,-0.12432455670860255,-0.06952137350147662,0.01125996490998245,0.05207983112470188,-0.01448822206345737
Z(HD 23180),2.3728918620818216,3.338969762653344,0.5784595008844192,-0.12194859868355082,1.2068924642889896,0.5530222178386636,-0.13686596527492076,0.3940264441740834,-0.4703604446157159,-0.26891909310961304,-0.46496264391572095,0.030496012773785785,-0.10669504619527945,-0.3318485573647952,0.0507124946263828,-0.18521089461147724,0.11380032670343851,0.07541369362057088,0.10934906150160914,0.0060950334460700036,0.00820472744564349,-0.0065678342311551036,0.010243516156337514
Z(HD 23630),-3.988674955416645,0.9653847011943115,1.476340571180597,0.4008730352922822,-0.4603073597084729,0.01755862277826536,-0.30729643176461674,0.14513509904154998,0.8906723940728488,0.23512416921098697,0.14868337014804922,-0.3862877293838632,-0.12648279973082063,0.06933928968039879,-0.23592318368679976,0.09160483384810639,0.1751750629499909,0.054541377904058275,0.03890670304848412,-0.010506175552048807,-0.0048738993998561474,0.10824165724956848,0.011167384825198084
Z(HD 24398),1.4820289096829875,2.0363462619811066,1.5045934011073887,-1.2059797435406383,0.7374218304122708,0.04919835659690393,-0.03473773873891998,-0.6099284104071147,-0.5424418299929223,0.43251970432529613,-0.34549045008072804,-0.468480293409787,-0.016411472145308876,0.3820776852433663,0.04579525414850649,0.2089202481207698,0.018891367471509532,0.0173889676023928,0.03647297182251052,0.12116050688665553,0.04815582347167657,-0.003926990891888999,-0.008010217242367682
Z(HD 24534),2.7919555409457515,3.2565176369211386,1.935803014137171,-0.955147961352078,0.8680334920871624,0.5797148227766872,0.04481891055089583,0.3531603619765285,0.11898290713246264,0.23535642760912673,0.3004281136722597,0.5336021269211779,0.11794127735613366,0.275274894982055,-0.2440798935187626,0.02721288956160377,0.11078772245685675,-0.11750224711880393,-0.04246532708237428,-0.0021509240586182962,-0.0620414448041864,-0.023813852371597412,-0.0069204023998187805
Z(HD 24760),-3.3288823869174413,-0.22218408801752976,1.4399512356497186,0.2604437233669998,0.214676084017529,0.565611092369952,0.014046167360386585,0.07149060239913817,0.19287450753672444,0.14045538032521604,0.11883613726211478,-0.06577531331500638,0.1349751727960075,-0.23687551768004456,-0.07784458429166342,0.08700466812541402,0.08305230689428096,0.03171876642272209,0.11200082327919335,-0.12267916799506956,0.10821389840369026,-0.009050358701215325,-0.019482457637204142
Z(HD 24912),2.6122660469790766,-1.3896420512444647,1.6160720914449893,-0.2162172034219756,-0.14618000612303053,0.03468030103035547,0.3676496571536497,0.3680981488313086,-0.13391688497863896,0.07587870028566855,0.2950957577726728,0.004044912960917598,-0.3813912751443012,-0.2623916001961654,0.13920009768225675,0.13352420805415255,0.042340294804918514,0.16175421379762206,0.04298863932133728,-0.050686495187374274,-0.09254824199709602,-0.012912609355121611,-0.00473104654956394
Z(HD 27778),0.4510173890805152,2.324028124615824,1.9357014536557136,-1.4503876838055003,-1.1978868128969968,-0.7442882276545062,0.472896053365601,0.4180430876085705,0.37065981620258454,0.051686746192625775,0.12167612799546451,-0.12077014224891296,0.4405395832701429,-0.1935546425787085,0.3825683920686681,-0.14210448758238625,0.020981975064698368,0.032729193643843475,0.0040285351092959,0.016403532055958608,0.04259515844655959,-0.026553556658879346,0.00010668187952135127
Z(HD 35149),-3.358878459190377,-0.16225214433903667,1.1378086452095812,0.5802707799495538,0.7526636199319232,0.5095884005875742,-0.014977028643547215,-0.27388230513301404,-0.013108412782735246,0.11296521539007451,0.5100155105050519,0.3954716451028208,-0.08425061612256933,-0.10585909840025941,-0.03908225899568361,-0.0010256315742295612,-0.059353646095185765,0.05148456091641166,0.10202523571070156,0.11163027974491123,0.0219705973950273,-0.05932816135302987,-0.00034575621191296744
