Obs,E(B-V),N(H)
Z(HD 15137),0.22528447914379862,0.642855116848487
Z(HD 22951),-0.16359944318775854,0.6525125802401318
Z(HD 23180),0.06973091021117579,0.5697343225974609
Z(HD 23630),-1.2524744257161189,-0.30357629553271787
Z(HD 24398),0.45861483254273316,0.5766325107343501
Z(HD 24534),0.7697219704079789,1.0167369138678841
Z(HD 24760),-1.096920856783496,-0.28564100637680584
Z(HD 24912),0.3808380480764217,0.853939673837298
Z(HD 27778),1.0030523238069133,0.3724461418824284
Z(HD 35149),-1.0191440723171845,-0.20286274873413485
Z(HD 35715),-1.4080279946487417,-0.28977909147636294
Z(HD 36822),-1.096920856783496,-0.02626913242977012
Z(HD 36861),-0.8635905033845616,-0.07179717413323915
Z(HD 40111),-0.8635905033845616,0.11583354319014838
Z(HD 110432),1.3919362461384706,0.5890492493807508
Z(HD 144217),-0.24137622765407007,0.4386687479965652
Z(HD 145502),-0.08582265872144704,0.4110759954490082
Z(HD 147165),0.7697219704079789,1.0926169833736659
Z(HD 147933),1.2363826772058475,2.9551277803337626
Z(HD 149757),0.6141684014753558,0.4717800510536336
Z(HD 164284),-0.7858137189182501,-0.11594557820933034
Z(HD 170740),1.314159461672159,1.2333400213662067
Z(HD 198478),1.7030433840037162,1.925918110309887
Z(HD 202904),-0.9413672878508731,-0.3256504975707635
Z(HD 207198),2.0141505218689617,2.7674970630103757
Z(HD 209975),0.45861483254273316,0.5517990334415488
Z(HD 214680),-1.0191440723171845,-0.13526050499262024
Z(HD 214993),-1.1746976412498076,-0.04420442158568216
Z(HD 218376),-0.3969297965866929,0.3048438981409138
